date,ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,spotify_track_uri
2020-09-11,2020-09-11 17:31:27+00:00,112348,Use Me,Gentleman's Dub Club,spotify:track:0KCyYv5dPewVWZwfNUTFom
2020-09-11,2020-09-11 17:41:14+00:00,341379,Money,Easy Star All-Stars,spotify:track:5QREkNN2kAKUsXppK9Vrcu
2020-09-11,2020-09-11 17:41:31+00:00,3420,Use Me,Gentleman's Dub Club,spotify:track:0KCyYv5dPewVWZwfNUTFom
2020-09-11,2020-09-11 17:41:50+00:00,12608,Use Me,Gentleman's Dub Club,spotify:track:0KCyYv5dPewVWZwfNUTFom
2020-09-11,2020-09-11 17:46:24+00:00,275718,Use Me,Gentleman's Dub Club,spotify:track:0KCyYv5dPewVWZwfNUTFom
2020-09-11,2020-09-11 17:46:50+00:00,24387,Use Me,Gentleman's Dub Club,spotify:track:0KCyYv5dPewVWZwfNUTFom
2020-09-11,2020-09-11 17:52:01+00:00,311573,North Circular Dub (No No No Rhyhtm),King Tubby,spotify:track:0wRA0cd2d88zUCQlBkJhrn
2020-09-11,2020-09-11 17:55:26+00:00,204573,Me Love To Sing,The Hempolics,spotify:track:0zbiazWau8UpMuQeawrjU3
2020-09-11,2020-09-11 18:00:19+00:00,292571,Move on Up,The Dynamics,spotify:track:2WaesAINqa4dKnLVu8JQKS
2020-09-11,2020-09-11 18:02:43+00:00,141729,007 (Shanty Town),Desmond Dekker,spotify:track:7LOAChK8Lkj8ZdF1LuhNWP
2020-09-11,2020-09-11 18:05:39+00:00,177440,Pressure Drop,The Maytals,spotify:track:55A8N3HXzIecctUSvru3Ch
2020-09-11,2020-09-11 18:09:18+00:00,218693,Take Five,King Tubby,spotify:track:4gcRTIXP8nHwl0hFdJikia
